ID,Distance,Path
003 101,1,"['003', '101']"
003 102,1,"['003', '102']"
003 103,2,"['003', '001', '103']"
003 104,2,"['003', '001', '104']"
003 105,2,"['003', '001', '105']"
003 106,2,"['003', '001', '106']"
003 107,2,"['003', '001', '107']"
003 108,2,"['003', '001', '108']"
003 109,2,"['003', '001', '109']"
003 110,2,"['003', '001', '110']"
003 111,2,"['003', '001', '111']"
003 112,2,"['003', '001', '112']"
003 113,2,"['003', '001', '113']"
003 114,2,"['003', '001', '114']"
004 001,1,"['004', '001']"
004 002,1,"['004', '002']"
004 003,1,"['004', '003']"
004 004,0,['004']
004 005,2,"['004', '001', '005']"
004 006,2,"['004', '001', '006']"
004 007,1,"['004', '007']"
004 008,2,"['004', '001', '008']"
004 009,1,"['004', '009']"
004 010,1,"['004', '010']"
004 011,2,"['004', '001', '011']"
004 012,2,"['004', '001', '012']"
004 013,1,"['004', '013']"
004 014,1,"['004', '014']"
004 015,2,"['004', '001', '015']"
004 016,1,"['004', '016']"
004 017,2,"['004', '001', '017']"
004 018,2,"['004', '001', '018']"
004 019,2,"['004', '001', '019']"
004 020,2,"['004', '001', '020']"
004 021,2,"['004', '001', '021']"
004 022,1,"['004', '022']"
004 023,2,"['004', '001', '023']"
004 024,2,"['004', '001', '024']"
004 025,2,"['004', '001', '025']"
004 026,2,"['004', '001', '026']"
004 027,2,"['004', '001', '027']"
004 028,2,"['004', '001', '028']"
004 029,1,"['004', '029']"
004 030,2,"['004', '001', '030']"
004 031,2,"['004', '001', '031']"
004 032,2,"['004', '001', '032']"
004 033,2,"['004', '001', '033']"
004 034,2,"['004', '001', '034']"
004 035,2,"['004', '001', '035']"
004 036,2,"['004', '001', '036']"
004 037,2,"['004', '001', '037']"
004 038,1,"['004', '038']"
004 039,1,"['004', '039']"
004 040,1,"['004', '040']"
004 041,2,"['004', '001', '041']"
004 042,2,"['004', '001', '042']"
004 043,2,"['004', '001', '043']"
004 044,2,"['004', '001', '044']"
004 045,2,"['004', '001', '045']"
004 046,2,"['004', '001', '046']"
004 047,2,"['004', '001', '047']"
004 048,2,"['004', '001', '048']"
004 049,2,"['004', '001', '049']"
004 050,2,"['004', '009', '050']"
004 051,2,"['004', '001', '051']"
004 052,2,"['004', '001', '052']"
004 053,2,"['004', '001', '053']"
004 054,2,"['004', '001', '054']"
004 055,2,"['004', '001', '055']"
004 056,2,"['004', '001', '056']"
004 057,2,"['004', '001', '057']"
004 058,1,"['004', '058']"
004 059,1,"['004', '059']"
004 060,1,"['004', '060']"
004 061,1,"['004', '061']"
004 062,2,"['004', '001', '062']"
004 063,2,"['004', '003', '063']"
004 064,1,"['004', '064']"
004 065,2,"['004', '001', '065']"
004 066,2,"['004', '001', '066']"
004 067,2,"['004', '001', '067']"
004 068,2,"['004', '001', '068']"
004 069,2,"['004', '001', '069']"
004 070,2,"['004', '001', '070']"
004 071,2,"['004', '001', '071']"
004 072,1,"['004', '072']"
004 073,2,"['004', '001', '073']"
004 074,2,"['004', '001', '074']"
004 075,1,"['004', '075']"
004 076,2,"['004', '001', '076']"
004 077,2,"['004', '001', '077']"
004 078,2,"['004', '001', '078']"
004 079,2,"['004', '001', '079']"
004 080,2,"['004', '001', '080']"
004 081,2,"['004', '001', '081']"
004 082,2,"['004', '001', '082']"
004 083,2,"['004', '001', '083']"
004 084,2,"['004', '001', '084']"
004 085,2,"['004', '009', '085']"
004 086,1,"['004', '086']"
004 087,2,"['004', '001', '087']"
004 088,2,"['004', '001', '088']"
004 089,1,"['004', '089']"
004 090,2,"['004', '001', '090']"
004 091,2,"['004', '001', '091']"
004 092,2,"['004', '001', '092']"
004 093,2,"['004', '001', '093']"
004 094,2,"['004', '001', '094']"
004 095,2,"['004', '001', '095']"
004 096,1,"['004', '096']"
004 097,1,"['004', '097']"
004 098,1,"['004', '098']"
004 099,2,"['004', '003', '099']"
004 100,2,"['004', '003', '100']"
004 101,1,"['004', '101']"
004 102,1,"['004', '102']"
004 103,1,"['004', '103']"
004 104,1,"['004', '104']"
004 105,1,"['004', '105']"
004 106,1,"['004', '106']"
004 107,1,"['004', '107']"
004 108,1,"['004', '108']"
004 109,1,"['004', '109']"
004 110,2,"['004', '001', '110']"
004 111,2,"['004', '001', '111']"
004 112,2,"['004', '001', '112']"
004 113,2,"['004', '001', '113']"
004 114,2,"['004', '001', '114']"
005 001,1,"['005', '001']"
005 002,2,"['005', '001', '002']"
005 003,1,"['005', '003']"
005 004,2,"['005', '001', '004']"
005 005,0,['005']
005 006,1,"['005', '006']"
005 007,1,"['005', '007']"
005 008,2,"['005', '001', '008']"
005 009,2,"['005', '001', '009']"
005 010,2,"['005', '001', '010']"
005 011,2,"['005', '001', '011']"
005 012,2,"['005', '001', '012']"
005 013,2,"['005', '001', '013']"
005 014,3,"['005', '001', '004', '014']"
005 015,2,"['005', '001', '015']"
005 016,2,"['005', '001', '016']"
005 017,2,"['005', '001', '017']"
005 018,2,"['005', '001', '018']"
005 019,2,"['005', '001', '019']"
005 020,2,"['005', '001', '020']"
005 021,2,"['005', '001', '021']"
005 022,2,"['005', '001', '022']"
005 023,2,"['005', '001', '023']"
005 024,2,"['005', '001', '024']"
005 025,2,"['005', '001', '025']"
005 026,2,"['005', '001', '026']"
005 027,2,"['005', '001', '027']"
005 028,2,"['005', '001', '028']"
005 029,2,"['005', '001', '029']"
005 030,2,"['005', '001', '030']"
005 031,2,"['005', '001', '031']"
005 032,2,"['005', '001', '032']"
005 033,2,"['005', '001', '033']"
005 034,2,"['005', '001', '034']"
005 035,2,"['005', '001', '035']"
005 036,2,"['005', '001', '036']"
005 037,2,"['005', '001', '037']"
005 038,2,"['005', '001', '038']"
005 039,2,"['005', '001', '039']"
005 040,3,"['005', '001', '004', '040']"
005 041,2,"['005', '001', '041']"
005 042,2,"['005', '001', '042']"
005 043,2,"['005', '001', '043']"
005 044,2,"['005', '001', '044']"
005 045,2,"['005', '001', '045']"
005 046,2,"['005', '001', '046']"
005 047,2,"['005', '001', '047']"
005 048,2,"['005', '001', '048']"
005 049,2,"['005', '001', '049']"
005 050,3,"['005', '001', '009', '050']"
005 051,2,"['005', '001', '051']"
005 052,2,"['005', '001', '052']"
005 053,2,"['005', '001', '053']"
005 054,2,"['005', '001', '054']"
005 055,2,"['005', '001', '055']"
005 056,2,"['005', '001', '056']"
005 057,2,"['005', '001', '057']"
005 058,2,"['005', '001', '058']"
005 059,2,"['005', '001', '059']"
005 060,2,"['005', '001', '060']"
005 061,2,"['005', '001', '061']"
005 062,2,"['005', '001', '062']"
005 063,2,"['005', '003', '063']"
005 064,2,"['005', '001', '064']"
005 065,2,"['005', '001', '065']"
005 066,2,"['005', '001', '066']"
005 067,2,"['005', '001', '067']"
005 068,2,"['005', '001', '068']"
